epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,learning_rate
1,0.8234501910004172,0.6691405314819249,0.6722697204572977,0.9965723887502148,0.623463687150838,0.6221060736736077,0.001
2,0.7045220665121752,0.7206128800574575,0.7241620757846108,0.8449382793969948,0.6558659217877095,0.6355726301135914,0.001
3,0.6341305477341768,0.7447929135743356,0.748412717965873,0.7044968745062471,0.711731843575419,0.7075015214315987,0.001
4,0.6081541888531755,0.7656212592769931,0.7678406396245796,1.0547994900016144,0.6134078212290502,0.5900201921711773,0.001
5,0.5651681429394586,0.7795068230787646,0.7803132788859417,0.6544294682960936,0.7776536312849162,0.7574631307291328,0.001
6,0.525517219536208,0.8072779506823079,0.8089444265570946,0.5703030904578097,0.7787709497206704,0.7845137787507814,0.001
7,0.5034276810107917,0.8144601388556381,0.8151817682467609,0.5774393775942606,0.8223463687150838,0.8129790402975529,0.001
8,0.4780499818423789,0.8254728273880776,0.8269884818471487,1.3178276604213153,0.5787709497206703,0.5712058357036385,0.001
9,0.4813760854580313,0.8178118266698587,0.8197159203889182,2.3776340275721926,0.4491620111731844,0.32691567429031954,0.001
10,0.4499852890485435,0.8333732343787407,0.8354067594551048,0.8988440671613096,0.7184357541899441,0.7258516258709757,0.0003
11,0.4013991080989728,0.8561168302609529,0.8581336369692628,0.42635507357187113,0.8603351955307262,0.8563485403594986,0.0003
12,0.3911694850480982,0.8561168302609529,0.8579355512183237,0.5538801161686802,0.7932960893854749,0.7958149365727751,0.0003
13,0.36980079202909405,0.865453674886282,0.8668701588676753,1.3113308314671064,0.5273743016759777,0.4634827288101223,0.0003
14,0.36971007040992776,0.8628202058893943,0.8644441252126392,0.4879966260501126,0.841340782122905,0.8300948065814908,8.999999999999999e-05
15,0.3540719113753462,0.8704812066076131,0.8719345375658907,0.4106292447814062,0.8581005586592179,0.8584760206480813,8.999999999999999e-05
