epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,learning_rate
1,0.4006378040491807,0.8443859229111803,0.8440870225584496,0.31400479089947386,0.8994413407821229,0.9001585070632672,0.0001
2,0.2982786258984502,0.8834091453196073,0.8866029664762651,0.25692520273131364,0.9150837988826815,0.9147862998701614,0.0001
3,0.24610955052493377,0.9063921474742638,0.9074674610849773,0.26720879344717086,0.9005586592178771,0.901884650879962,0.0001
4,0.20427163669815868,0.9257840555422552,0.9267094601224592,0.23252213226849808,0.9128491620111732,0.9134246743051392,0.0001
5,0.17580651141023534,0.929135743356476,0.9309424339871029,0.24274447593609047,0.9128491620111732,0.9134262184235485,3e-05
