epoch,epoch_seconds,learning_rate,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,validation_glioma_precision,validation_glioma_recall,validation_glioma_f1,validation_meningioma_precision,validation_meningioma_recall,validation_meningioma_f1,validation_glioma_as_meningioma,validation_meningioma_as_glioma,validation_confusion_matrix
1,427.61815762519836,0.0001,0.32651457767869996,0.8764358894753183,0.8785601960488458,0.21387784208670474,0.9231884057971015,0.9255565555134522,0.9540816326530612,0.8904761904761904,0.9211822660098522,0.8432432432432433,0.8914285714285715,0.8666666666666667,23,5,"[[187, 23, 0, 0], [5, 156, 1, 13], [3, 3, 87, 1], [1, 3, 0, 207]]"
2,432.6991879940033,0.0001,0.22429154848911792,0.9124495498292455,0.9162922135544846,0.17478720534970796,0.9376811594202898,0.9392835581613461,0.9689119170984456,0.8904761904761904,0.9280397022332506,0.8534031413612565,0.9314285714285714,0.8907103825136612,23,3,"[[187, 23, 0, 0], [3, 163, 1, 8], [3, 3, 88, 0], [0, 2, 0, 209]]"
3,378.8047239780426,0.0001,0.1826134727725939,0.9332505433095312,0.9367168487606262,0.14816360564335532,0.946376811594203,0.9483909704206083,0.9420289855072463,0.9285714285714286,0.935251798561151,0.898876404494382,0.9142857142857143,0.9065155807365439,15,8,"[[195, 15, 0, 0], [8, 160, 1, 6], [3, 1, 90, 0], [1, 2, 0, 208]]"
4,385.1385898590088,0.0001,0.13751243510321406,0.9521887612542689,0.9545441450436984,0.1343470411253688,0.9536231884057971,0.9559274493004666,0.9846153846153847,0.9142857142857143,0.9481481481481482,0.8978494623655914,0.9542857142857143,0.925207756232687,16,1,"[[192, 16, 0, 2], [1, 167, 0, 7], [2, 1, 90, 1], [0, 2, 0, 209]]"
5,449.4821650981903,0.0001,0.11986987630945671,0.9521887612542689,0.9544512378888457,0.12540992501029827,0.9623188405797102,0.962096308019229,0.9488372093023256,0.9714285714285714,0.96,0.9479768786127167,0.9371428571428572,0.9425287356321839,6,6,"[[204, 6, 0, 0], [6, 164, 0, 5], [4, 1, 88, 1], [1, 2, 0, 208]]"
6,760.2842221260071,0.0001,0.11599633729594792,0.9621235641105247,0.9642169457625663,0.11904233746918971,0.9594202898550724,0.9617604471931224,0.9751243781094527,0.9333333333333333,0.9537712895377128,0.912568306010929,0.9542857142857143,0.9329608938547486,14,2,"[[196, 14, 0, 0], [2, 167, 0, 6], [2, 0, 91, 1], [1, 2, 0, 208]]"
