epoch,epoch_seconds,learning_rate,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,validation_glioma_precision,validation_glioma_recall,validation_glioma_f1,validation_meningioma_precision,validation_meningioma_recall,validation_meningioma_f1,validation_glioma_as_meningioma,validation_meningioma_as_glioma,validation_confusion_matrix
1,586.2963299751282,5e-05,0.38148473173111574,0.8574976715305805,0.8584359646808786,0.20680570347045643,0.9304347826086956,0.9346212580679792,0.9837837837837838,0.8666666666666667,0.9215189873417722,0.8526315789473684,0.9257142857142857,0.8876712328767123,25,2,"[[182, 25, 0, 3], [2, 162, 1, 10], [1, 0, 90, 3], [0, 3, 0, 208]]"
2,3068.7775580883026,5e-05,0.2237039654012868,0.9143123253647936,0.9170308097033169,0.1519433704947216,0.9478260869565217,0.9501305536764637,0.9894736842105263,0.8952380952380953,0.94,0.8924731182795699,0.9485714285714286,0.9196675900277008,18,1,"[[188, 18, 0, 4], [1, 166, 2, 6], [1, 0, 91, 2], [0, 2, 0, 209]]"
3,19129.207441806793,5e-05,0.17175081074099036,0.9332505433095312,0.9361297193631131,0.09847280010581017,0.9681159420289855,0.9701309407245675,0.9752475247524752,0.9380952380952381,0.9563106796116505,0.918918918918919,0.9714285714285714,0.9444444444444444,13,4,"[[197, 13, 0, 0], [4, 170, 0, 1], [1, 0, 92, 1], [0, 2, 0, 209]]"
4,1576.8783478736877,5e-05,0.12274203952708365,0.9497050605402049,0.9522044637568434,0.08675535381012393,0.9681159420289855,0.9696806306380865,0.9897959183673469,0.9238095238095239,0.9556650246305419,0.9157894736842105,0.9942857142857143,0.9534246575342465,14,1,"[[194, 14, 0, 2], [1, 174, 0, 0], [1, 0, 91, 2], [0, 2, 0, 209]]"
