epoch,epoch_seconds,learning_rate,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,validation_glioma_precision,validation_glioma_recall,validation_glioma_f1,validation_meningioma_precision,validation_meningioma_recall,validation_meningioma_f1,validation_glioma_as_meningioma,validation_meningioma_as_glioma,validation_confusion_matrix
1,220.3302400112152,0.0001,0.3818347738863185,0.8562558211735486,0.8571992082883789,0.30331771075725555,0.8869565217391304,0.8902829052969503,0.9421052631578948,0.8523809523809524,0.895,0.7955801104972375,0.8228571428571428,0.8089887640449438,28,6,"[[179, 28, 1, 2], [6, 144, 2, 23], [3, 4, 85, 2], [2, 5, 0, 204]]"
2,216.74625706672668,0.0001,0.25787869464977303,0.8963054951878299,0.9007050357356976,0.25281413498780003,0.908695652173913,0.9098455151291286,0.9631578947368421,0.8714285714285714,0.915,0.8351648351648352,0.8685714285714285,0.8515406162464986,24,3,"[[183, 24, 1, 2], [3, 152, 2, 18], [3, 3, 85, 3], [1, 3, 0, 207]]"
3,219.6084361076355,0.0001,0.20836245310450888,0.9214529649177274,0.9252797056660284,0.2160868090779885,0.9289855072463769,0.9312394040411691,0.9685863874345549,0.8809523809523809,0.9226932668329177,0.84375,0.9257142857142857,0.8828337874659401,23,3,"[[185, 23, 1, 1], [3, 162, 2, 8], [2, 2, 89, 1], [1, 5, 0, 205]]"
4,234.4650387763977,0.0001,0.16895092937844358,0.9366656317913692,0.9401154180426757,0.19913143599000963,0.927536231884058,0.928173819868141,0.9689119170984456,0.8904761904761904,0.9280397022332506,0.8633879781420765,0.9028571428571428,0.88268156424581,20,4,"[[187, 20, 1, 2], [4, 158, 2, 11], [2, 2, 87, 3], [0, 3, 0, 208]]"
5,224.63211393356323,0.0001,0.14634461067003962,0.944116733933561,0.9476613798235933,0.1818436559289694,0.9304347826086956,0.9299825161437695,0.9458128078817734,0.9142857142857143,0.9297820823244553,0.8729281767955801,0.9028571428571428,0.8876404494382022,16,7,"[[192, 16, 1, 1], [7, 158, 2, 8], [3, 3, 86, 2], [1, 4, 0, 206]]"
6,222.71074390411377,0.0001,0.14287949831811067,0.943185346165787,0.9459316140072507,0.17421096373835335,0.9376811594202898,0.9393195861068792,0.9552238805970149,0.9142857142857143,0.9343065693430657,0.8833333333333333,0.9085714285714286,0.895774647887324,17,6,"[[192, 17, 0, 1], [6, 159, 2, 8], [2, 1, 89, 2], [1, 3, 0, 207]]"
