epoch,epoch_seconds,learning_rate,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,validation_glioma_precision,validation_glioma_recall,validation_glioma_f1,validation_meningioma_precision,validation_meningioma_recall,validation_meningioma_f1,validation_confusion_matrix
1,0.19853472709655762,0.001,1.0854268026847862,0.5858429059298355,0.57250807783107,0.8113688956136289,0.7086956521739131,0.7014307643021331,0.8176100628930818,0.6190476190476191,0.7046070460704607,0.6226415094339622,0.5657142857142857,0.592814371257485,"[[130, 49, 13, 18], [11, 99, 21, 44], [4, 5, 75, 10], [14, 6, 6, 185]]"
2,0.03530097007751465,0.001,0.7031938675692717,0.7612542688606023,0.7521719142492201,0.6352191884448563,0.7608695652173914,0.758227567116841,0.8484848484848485,0.6666666666666666,0.7466666666666667,0.6629834254143646,0.6857142857142857,0.6741573033707865,"[[140, 48, 11, 11], [10, 120, 10, 35], [4, 6, 76, 8], [11, 7, 4, 189]]"
3,0.035672903060913086,0.001,0.5535343297054885,0.8162061471592673,0.8173172197897816,0.5393178467301355,0.7927536231884058,0.7962466793317312,0.8532608695652174,0.7476190476190476,0.7969543147208121,0.7098765432098766,0.6571428571428571,0.6824925816023739,"[[157, 38, 6, 9], [13, 115, 7, 40], [4, 2, 84, 4], [10, 7, 3, 191]]"
4,0.03539395332336426,0.001,0.48879910126046267,0.8345234399254889,0.8361679987306819,0.4997355754824652,0.8231884057971014,0.8292820355224164,0.9161676646706587,0.7285714285714285,0.8116710875331565,0.6989795918367347,0.7828571428571428,0.738544474393531,"[[153, 46, 3, 8], [6, 137, 4, 28], [3, 4, 83, 4], [5, 9, 2, 195]]"
5,0.036176204681396484,0.001,0.4351541495256563,0.8587395218876125,0.8612647552343575,0.454195950385453,0.8246376811594203,0.8283290773387898,0.8716577540106952,0.7761904761904762,0.8211586901763224,0.7485029940119761,0.7142857142857143,0.7309941520467836,"[[163, 35, 4, 8], [13, 125, 6, 31], [4, 1, 85, 4], [7, 6, 2, 196]]"
6,0.03467202186584473,0.001,0.40784153350574265,0.8571872089413226,0.8594192982928366,0.42749990376009456,0.8347826086956521,0.8403361488157521,0.8895027624309392,0.7666666666666667,0.8235294117647058,0.7225130890052356,0.7885714285714286,0.7540983606557377,"[[161, 41, 3, 5], [8, 138, 4, 25], [4, 4, 84, 2], [8, 8, 2, 193]]"
7,0.035672903060913086,0.001,0.3829950332104956,0.8696057125116423,0.8725961141770674,0.4179485058438951,0.8478260869565217,0.8516130315154791,0.9411764705882353,0.7619047619047619,0.8421052631578947,0.7244897959183674,0.8114285714285714,0.7654986522911051,"[[160, 42, 3, 5], [4, 142, 4, 25], [4, 4, 84, 2], [2, 8, 2, 199]]"
8,0.03654193878173828,0.001,0.37065430251532777,0.8739521887612542,0.8763899297228736,0.3993272926064505,0.8463768115942029,0.8511958903754874,0.9162011173184358,0.780952380952381,0.8431876606683805,0.7405405405405405,0.7828571428571428,0.7611111111111111,"[[164, 38, 1, 7], [8, 137, 4, 26], [4, 3, 84, 3], [3, 7, 2, 199]]"
9,0.03552103042602539,0.001,0.3541783466171826,0.8789195901893821,0.881208770790385,0.38920907728050064,0.8565217391304348,0.8606922371212775,0.9476744186046512,0.7761904761904762,0.8534031413612565,0.7346938775510204,0.8228571428571428,0.7762803234501348,"[[163, 40, 1, 6], [4, 144, 4, 23], [3, 5, 84, 2], [2, 7, 2, 200]]"
10,0.03605914115905762,0.001,0.33715515283278447,0.8789195901893821,0.882249331619017,0.37755282732887546,0.8478260869565217,0.8533755715980362,0.9162011173184358,0.780952380952381,0.8431876606683805,0.7379679144385026,0.7885714285714286,0.7624309392265194,"[[164, 39, 1, 6], [8, 138, 4, 25], [3, 3, 85, 3], [4, 7, 2, 198]]"
11,0.03487372398376465,0.001,0.33075086560096845,0.8873020800993481,0.889854228078182,0.3621718252914539,0.8565217391304348,0.862394865549386,0.907608695652174,0.7952380952380952,0.8477157360406091,0.7513513513513513,0.7942857142857143,0.7722222222222223,"[[167, 37, 1, 5], [10, 139, 4, 22], [3, 2, 87, 2], [4, 7, 2, 198]]"
12,0.036316871643066406,0.001,0.32140990496792066,0.88699161751009,0.8900637598168517,0.36318961204825967,0.8594202898550725,0.8650379996598154,0.9367816091954023,0.7761904761904762,0.8489583333333334,0.7386934673366834,0.84,0.786096256684492,"[[163, 41, 1, 5], [4, 147, 3, 21], [3, 4, 85, 2], [4, 7, 2, 198]]"
13,0.036414146423339844,0.001,0.30567147793032595,0.891338093759702,0.8957346815788115,0.3498651327430338,0.8579710144927536,0.8624961276873314,0.8883248730964467,0.8333333333333334,0.85995085995086,0.7844311377245509,0.7485714285714286,0.7660818713450293,"[[175, 28, 1, 6], [15, 131, 4, 25], [3, 2, 87, 2], [4, 6, 2, 199]]"
14,0.03779101371765137,0.001,0.30336849725013265,0.889785780813412,0.8938789516028375,0.34790889862654867,0.8724637681159421,0.8767769368315923,0.9653179190751445,0.7952380952380952,0.8720626631853786,0.7684210526315789,0.8342857142857143,0.8,"[[167, 35, 1, 7], [4, 146, 3, 22], [2, 3, 86, 3], [0, 6, 2, 203]]"
15,0.036396026611328125,0.001,0.2915792664786519,0.8969264203663458,0.9001304716164543,0.34169010792089544,0.8753623188405797,0.8802741024286187,0.9651162790697675,0.7904761904761904,0.8691099476439791,0.764102564102564,0.8514285714285714,0.8054054054054054,"[[166, 36, 1, 7], [4, 149, 3, 19], [2, 3, 87, 2], [0, 7, 2, 202]]"
16,0.03609800338745117,0.001,0.28456975270302093,0.8981682707233778,0.9016710972478543,0.3319886313400407,0.8695652173913043,0.8750868846149968,0.9197860962566845,0.819047619047619,0.8664987405541562,0.7734806629834254,0.8,0.7865168539325843,"[[172, 32, 1, 5], [11, 140, 3, 21], [2, 2, 88, 2], [2, 7, 2, 200]]"
17,0.03627800941467285,0.001,0.27583206830576906,0.9031356721515057,0.9075988686456488,0.3319134316150693,0.8739130434782608,0.8787733562070505,0.9441340782122905,0.8047619047619048,0.8688946015424165,0.7684210526315789,0.8342857142857143,0.8,"[[169, 34, 1, 6], [7, 146, 3, 19], [2, 3, 87, 2], [1, 7, 2, 201]]"
18,0.03687882423400879,0.001,0.2727138636941978,0.9015833592052158,0.9053000367475693,0.3238524072844049,0.8768115942028986,0.8813541590705352,0.9347826086956522,0.819047619047619,0.8730964467005076,0.776595744680851,0.8342857142857143,0.8044077134986226,"[[172, 32, 1, 5], [8, 146, 3, 18], [2, 3, 87, 2], [2, 7, 2, 200]]"
19,0.036683082580566406,0.001,0.2635165473220142,0.9028252095622478,0.9063147030558328,0.32068812572869704,0.8753623188405797,0.8792547312924875,0.9251336898395722,0.8238095238095238,0.871536523929471,0.7833333333333333,0.8057142857142857,0.7943661971830986,"[[173, 31, 1, 5], [11, 141, 3, 20], [2, 3, 87, 2], [1, 5, 2, 203]]"
20,0.03554987907409668,0.001,0.2576985284986795,0.9059298354548277,0.9095508272157228,0.3185682648765868,0.8797101449275362,0.8833500886624976,0.9222797927461139,0.8476190476190476,0.8833746898263027,0.8070175438596491,0.7885714285714286,0.7976878612716763,"[[178, 26, 1, 5], [12, 138, 3, 22], [2, 2, 87, 3], [1, 5, 1, 204]]"
21,0.03676295280456543,0.001,0.2607771783132651,0.9012728966159578,0.9047770366496498,0.31926542909249017,0.8826086956521739,0.8873410878224121,0.9550561797752809,0.8095238095238095,0.8762886597938144,0.7772020725388601,0.8571428571428571,0.8152173913043478,"[[170, 33, 1, 6], [5, 150, 3, 17], [2, 3, 87, 2], [1, 7, 1, 202]]"
22,0.03698992729187012,0.001,0.2499915660214106,0.9102763117044396,0.9129097759517397,0.3082126122885856,0.8768115942028986,0.882062886062295,0.9293478260869565,0.8142857142857143,0.868020304568528,0.7807486631016043,0.8342857142857143,0.8066298342541437,"[[171, 32, 1, 6], [9, 146, 3, 17], [2, 2, 88, 2], [2, 7, 2, 200]]"
23,0.03560495376586914,0.001,0.24894282365207973,0.9099658491151816,0.9145560530097131,0.30687019397383153,0.8826086956521739,0.886981473892369,0.9259259259259259,0.8333333333333334,0.8771929824561403,0.7891891891891892,0.8342857142857143,0.8111111111111111,"[[175, 30, 1, 4], [9, 146, 3, 17], [3, 2, 87, 2], [2, 7, 1, 201]]"
24,0.03630805015563965,0.001,0.24206871918475764,0.9108972368829557,0.9145860112786146,0.3107645388962566,0.8855072463768116,0.8906001022128878,0.9553072625698324,0.8142857142857143,0.8791773778920309,0.7853403141361257,0.8571428571428571,0.819672131147541,"[[171, 32, 1, 6], [5, 150, 3, 17], [2, 2, 88, 2], [1, 7, 1, 202]]"
25,0.03795599937438965,0.001,0.2430630652190587,0.9130704750077616,0.916826104102358,0.30411947149297464,0.8855072463768116,0.8893226309296186,0.9183673469387755,0.8571428571428571,0.8866995073891626,0.8273809523809523,0.7942857142857143,0.8104956268221575,"[[180, 23, 1, 6], [13, 139, 3, 20], [2, 1, 88, 3], [1, 5, 1, 204]]"
26,0.04532194137573242,0.001,0.2367461519891229,0.9143123253647936,0.9168845114808261,0.30311029292103175,0.8869565217391304,0.8918799975206099,0.9555555555555556,0.819047619047619,0.882051282051282,0.7894736842105263,0.8571428571428571,0.821917808219178,"[[172, 31, 1, 6], [5, 150, 3, 17], [2, 2, 88, 2], [1, 7, 1, 202]]"
27,0.04079389572143555,0.001,0.22979515794640334,0.9177274138466315,0.9205934699958475,0.29784271987020106,0.8898550724637682,0.8936079925459983,0.9195979899497487,0.8714285714285714,0.8948655256723717,0.8363636363636363,0.7885714285714286,0.8117647058823529,"[[183, 21, 1, 5], [13, 138, 3, 21], [2, 1, 89, 2], [1, 5, 1, 204]]"
28,0.044561147689819336,0.001,0.22461501956541174,0.9155541757218255,0.9191825620097362,0.2974837818439456,0.8927536231884058,0.8964995609227672,0.9417989417989417,0.8476190476190476,0.8922305764411027,0.8076923076923077,0.84,0.8235294117647058,"[[178, 27, 1, 4], [8, 147, 3, 17], [2, 2, 88, 2], [1, 6, 1, 203]]"
29,0.045162200927734375,0.001,0.22870029917565682,0.9149332505433095,0.91956396595151,0.2915747976605443,0.8956521739130435,0.8992312646018373,0.9468085106382979,0.8476190476190476,0.8944723618090452,0.8097826086956522,0.8514285714285714,0.83008356545961,"[[178, 27, 1, 4], [7, 149, 3, 16], [2, 2, 88, 2], [1, 6, 1, 203]]"
30,0.045660972595214844,0.001,0.2235907848597091,0.9242471282210494,0.9259335495175639,0.2898677666982015,0.8971014492753623,0.9005524730586354,0.9424083769633508,0.8571428571428571,0.8977556109725686,0.8142076502732241,0.8514285714285714,0.8324022346368715,"[[180, 26, 1, 3], [7, 149, 3, 16], [2, 2, 88, 2], [2, 6, 1, 202]]"
31,0.48778605461120605,0.001,0.2191023282968121,0.9189692642036634,0.923298500712487,0.29459502109582875,0.8898550724637682,0.8939879749368103,0.9459459459459459,0.8333333333333334,0.8860759493670886,0.8076923076923077,0.84,0.8235294117647058,"[[175, 28, 1, 6], [7, 147, 3, 18], [2, 2, 88, 2], [1, 5, 1, 204]]"
32,0.03378105163574219,0.001,0.2129374089142211,0.9251785159888234,0.9292738738779862,0.2853811356684436,0.9,0.9032515389087195,0.9424083769633508,0.8571428571428571,0.8977556109725686,0.8162162162162162,0.8628571428571429,0.8388888888888889,"[[180, 26, 1, 3], [7, 151, 3, 14], [2, 2, 88, 2], [2, 6, 1, 202]]"
33,0.03382301330566406,0.001,0.21980188452968016,0.9205215771499534,0.9244400752519695,0.2915507903565531,0.8942028985507247,0.8983362977106725,0.9558011049723757,0.8238095238095238,0.8849104859335039,0.8010471204188482,0.8742857142857143,0.8360655737704918,"[[173, 30, 1, 6], [5, 153, 3, 14], [2, 2, 88, 2], [1, 6, 1, 203]]"
34,0.03362703323364258,0.001,0.21202670017390915,0.9233157404532754,0.9262858193902102,0.28443696034559307,0.8971014492753623,0.9005794927959593,0.9278350515463918,0.8571428571428571,0.8910891089108911,0.8108108108108109,0.8571428571428571,0.8333333333333334,"[[180, 27, 1, 2], [9, 150, 2, 14], [3, 2, 87, 2], [2, 6, 1, 202]]"
35,0.0339961051940918,0.0003,0.21419085825925582,0.9248680533995653,0.9293275016838504,0.2867672310791154,0.8927536231884058,0.8970326044258196,0.946524064171123,0.8428571428571429,0.8916876574307305,0.8238636363636364,0.8285714285714286,0.8262108262108262,"[[177, 26, 1, 6], [7, 145, 3, 20], [2, 1, 89, 2], [1, 4, 1, 205]]"
36,0.03325700759887695,0.0003,0.20478498435601505,0.9214529649177274,0.9243684179830667,0.283745467533236,0.8985507246376812,0.9017283000533431,0.9468085106382979,0.8476190476190476,0.8944723618090452,0.8108108108108109,0.8571428571428571,0.8333333333333334,"[[178, 28, 1, 3], [7, 150, 3, 15], [2, 2, 88, 2], [1, 5, 1, 204]]"
37,0.03429603576660156,0.0003,0.20476472397669987,0.9251785159888234,0.9290333470218024,0.2851289426718933,0.8985507246376812,0.9022728220513959,0.9424083769633508,0.8571428571428571,0.8977556109725686,0.8176795580110497,0.8457142857142858,0.8314606741573034,"[[180, 26, 1, 3], [8, 148, 2, 17], [2, 2, 88, 2], [1, 5, 1, 204]]"
38,0.0338129997253418,8.999999999999999e-05,0.20303466326699646,0.9295249922384353,0.9330281054992462,0.28779364003651386,0.8956521739130435,0.8995343104953456,0.9421052631578948,0.8523809523809524,0.895,0.8202247191011236,0.8342857142857143,0.8271954674220963,"[[179, 26, 1, 4], [8, 146, 2, 19], [2, 2, 88, 2], [1, 4, 1, 205]]"
